

Branch Name            | Type | Description                                                                                                              | Source File         
ETau_tauIdx            |  I   | Index to Taus of hadronic tau                                                                                            | ETauProducer.py     
ETau_tauProngs         |  I   | Number of prongs of tau (1 or 3)                                                                                         | ETauProducer.py     
ETau_havePair          |  O   | True if have a good e and tau                                                                                            | ETauProducer.py     
ETau_ETauDR            |  F   | Delta R between electron and tau                                                                                         | ETauProducer.py     
ETau_ETauDPhi          |  F   | Delta phi between the electron and tau                                                                                   | ETauProducer.py     
ETau_visM              |  F   | Visible mass of the e+tau pair                                                                                           | ETauProducer.py     
ETau_highPtGenMatch    |  O   | True if the higher pt tau decay matched to the GEN taustar tau                                                           | ETauProducer.py     
ETau_highPtCollM       |  F   | Either the min or max coll m, whichever was from the higher pt tau decay                                                 | ETauProducer.py     
ETau_haveTrip          |  O   | True if have a good e, tau, and Z                                                                                        | ETauProducer.py     
ETau_minCollM          |  F   | The smaller collinear mass of either e+nu+Z or tau+nu+Z                                                                  | ETauProducer.py     
ETau_maxCollM          |  F   | The larger collinear mass of either e+nu+Z or tau+nu+Z                                                                   | ETauProducer.py     
ETau_tauESCorr         |  F   | The energy scale correction applied to the tau [down, nom, up]                                                           | ETauProducer.py     
ETau_tauVsESF          |  F   | DeepTau tau vs e SFs [down, nom, up]                                                                                     | ETauProducer.py     
ETau_tauVsMuSF         |  F   | DeepTau tau vs mu SFs [down, nom, up]                                                                                    | ETauProducer.py     
ETau_tauVsJetSF        |  F   | DeepTau tau vs jet SFs [down, nom, up]                                                                                   | ETauProducer.py     
ETau_eIDSF             |  F   | Electron ID SFs [down, nom, up]                                                                                          | ETauProducer.py     
ETau_trigMatchTau      |  O   | True if the tau matches the single-tau trigger obj                                                                       | ETauProducer.py     
ETau_trigMatchETau     |  O   | True if the reco el and tau fired the e-tau cross trigger                                                                | ETauProducer.py     
ETau_isCand            |  O   | True if the event is good e+tau+Z event                                                                                  | ETauProducer.py     
ObjCnt_nBTags          |  I   | Number of b-tagged jets in the event                                                                                     | ObjCounter.py       
ObjCnt_nElMatch        |  O   | True if the number of electrons in the event matches the channel and Z DM                                                | ObjCounter.py       
ObjCnt_nMuMatch        |  O   | True if the number of muons in the event matches the channel and Z DM                                                    | ObjCounter.py       
ObjCnt_nJetsMatch      |  O   | True if the number of jets in th event matches the channel and Z DM                                                      | ObjCounter.py       
TauTau_tau1Idx         |  I   | Index to Taus of the best hadronic tau (sorted by vsJets, pt)                                                            | TauTauProducer.py   
TauTau_tau2Idx         |  I   | Index to Taus of second best hadronic tau (sorted by vsJets, pt, and DR>0.4 from best tau)                               | TauTauProducer.py   
TauTau_tau1Prongs      |  I   | Number if prongs of tau1 (1 or 3)                                                                                        | TauTauProducer.py   
TauTau_tau2Prongs      |  I   | Number if prongs of tau2 (1 or 3)                                                                                        | TauTauProducer.py   
TauTau_havePair        |  O   | True if have two good taus                                                                                               | TauTauProducer.py   
TauTau_TauTauDR        |  F   | DeltaR between the two taus                                                                                              | TauTauProducer.py   
TauTau_TauTauDPhi      |  F   | Delta phi between the two taus                                                                                           | TauTauProducer.py   
TauTau_visM            |  F   | Visible mass of the tau pair                                                                                             | TauTauProducer.py   
TauTau_haveTrip        |  O   | True if have two good taus and a Z                                                                                       | TauTauProducer.py   
TauTau_minCollM        |  F   | The smaller collinear mass of tau1+nu+Z or tau2+nu+Z                                                                     | TauTauProducer.py   
TauTau_maxCollM        |  F   | The larger collinear mass of either tau1+nu+Z or tau2+nu+Z                                                               | TauTauProducer.py   
